age     salary(thousand)
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
37         55
41         30
28         25
33         60
55         55
31         28
56         40
26         30
28         30
32         28
42         52
49         50
53         45
54         65
29         40
30         38
57         60
34         35
39         50
43         80
60         85
59         70
48         45
37         35
44         55
20         34
23         33
50         50
60         70
25         100
44         150
45         56
23         34
67         90
45         34
34         56
30         35
34         38
40         100
51         45
45         50
